application, alpha, time
1,0.002814,218147.000000
0,0.002814,218270.000000
2,0.000003,239588.000000
0,0.000004,239682.000000
0,0.000000,262777.000000
2,0.000000,273471.000000
1,0.000000,273540.000000
1,0.000000,297971.000000
0,0.000000,310545.000000
2,0.000000,310668.000000
2,0.000000,334992.000000
0,0.000000,335075.000000
1,0.000000,335152.000000
0,0.000000,360339.000000
1,0.000000,360434.000000
2,0.000000,360508.000000
0,0.000000,385921.000000
1,0.000000,385980.000000
2,0.000000,386136.000000
1,0.000000,411343.000000
2,0.000000,424744.000000
0,0.000000,424923.000000
2,0.000000,449445.000000
1,0.000000,449624.000000
1,0.000000,471917.000000
2,0.000001,471982.000000
1,0.000000,506225.000000
0,0.000000,506293.000000
2,0.000000,527710.000000
1,0.000001,527833.000000
0,0.000003,527870.000000
0,0.000000,554425.000000
2,0.000000,554460.000000
1,0.000000,554513.000000
2,0.000000,579919.000000
0,0.000000,580066.000000
1,0.000000,580103.000000
1,0.000000,605596.000000
2,0.000000,605689.000000
0,0.000000,631178.000000
1,0.000000,631290.000000
2,0.000000,652218.000000
1,0.000000,675367.000000
0,0.000000,675531.000000
1,0.000000,698341.000000
0,0.000001,698496.000000
2,0.000000,698623.000000
1,0.000000,723839.000000
0,0.000000,724026.000000
2,0.000000,744827.000000
2,0.000000,768128.000000
1,0.000000,768241.000000
0,0.000000,793549.000000
2,0.000000,793605.000000
1,0.000000,793725.000000
0,0.000000,819175.000000
1,0.000000,819276.000000
2,0.000000,840167.000000
2,0.000000,863488.000000
1,0.000000,877859.000000
0,0.000000,877936.000000
2,0.000025,878009.000000
0,0.000000,903290.000000
1,0.000000,903407.000000
2,0.000000,903469.000000
1,0.000000,928859.000000
0,0.000000,947067.000000
2,0.000000,947155.000000
1,0.000000,970090.000000
2,0.000893,970211.000000
0,0.000000,995778.000000
2,0.000000,995965.000000

