Application,Time,Throughput
0,5,8.282560
1,5,6.357299
2,5,3.062810
0,10,8.423885
1,10,6.379309
2,10,3.165907
0,15,8.529299
1,15,6.411165
2,15,3.172278
0,20,8.481226
1,20,6.458370
2,20,3.178939
0,25,8.523218
1,25,6.435636
2,25,3.197329
0,30,8.544214
1,30,6.415002
2,30,3.191464
Application,Time,Throughput
0,5,6.153421
1,5,6.127936
2,5,4.978803
0,10,6.142995
1,10,6.239142
2,10,5.247552
Application,Time,Throughput
0,5,8.282560
1,5,6.357299
2,5,3.062810
Application,Time,Throughput
0,5,8.252442
1,5,6.357299
2,5,3.092928
Application,Time,Throughput
0,5,6.966618
1,5,6.827610
2,5,3.838938
0,10,7.074349
1,10,6.863520
2,10,3.986054
0,15,7.077245
1,15,6.947504
2,15,4.028336
Application,Time,Throughput
0,5,6.776640
1,5,6.804442
2,5,4.070618
Application,Time,Throughput
0,5,6.670067
1,5,6.672384
2,5,4.265229
Application,Time,Throughput
0,5,6.563494
1,5,6.521792
2,5,4.503859
Application,Time,Throughput
0,5,6.385101
1,5,6.408269
2,5,4.689203
Application,Time,Throughput
0,5,6.966618
1,5,6.827610
2,5,3.838938
Application,Time,Throughput
0,5,6.913331
1,5,6.955034
2,5,3.882957
Application,Time,Throughput
0,5,6.605197
1,5,6.556544
2,5,4.383386
Application,Time,Throughput
0,5,6.382784
1,5,6.389734
2,5,4.726272
0,10,6.441862
1,10,6.425645
2,10,4.866438
0,15,6.605776
1,15,6.375254
2,15,4.997917
Application,Time,Throughput
0,5,6.310963
1,5,6.401318
2,5,4.733222
Application,Time,Throughput
0,5,6.301696
1,5,6.188173
2,5,4.839795
Application,Time,Throughput
0,5,6.605197
1,5,6.556544
2,5,4.383386
0,10,6.827610
1,10,6.454605
2,10,4.598848
Application,Time,Throughput
0,5,6.449971
1,5,6.540326
2,5,4.547878
0,10,6.505574
1,10,6.598246
2,10,4.683411
Application,Time,Throughput
0,5,6.480090
1,5,6.443021
2,5,4.545562
0,10,6.463872
1,10,6.548435
2,10,4.774925
Application,Time,Throughput
0,5,6.385101
1,5,6.408269
2,5,4.689203
0,10,6.437229
1,10,6.528742
2,10,4.780717
Application,Time,Throughput
0,5,6.399002
1,5,6.392051
2,5,4.728589
0,10,6.482406
1,10,6.409427
2,10,4.912774
0,15,6.568128
1,15,6.457501
2,15,5.012976
0,20,6.675859
1,20,6.344846
2,20,4.991256
0,25,6.672963
1,25,6.348756
2,25,5.075385
Application,Time,Throughput
0,5,6.385101
1,5,6.294746
2,5,4.719322
0,10,6.419853
1,10,6.430278
2,10,4.891923
Application,Time,Throughput
0,5,6.334131
1,5,6.359616
2,5,5.340224
0,10,6.330656
1,10,6.381626
2,10,5.374976
0,15,6.346294
1,15,6.429699
2,15,5.350650
0,20,6.340213
1,20,6.505864
2,20,5.347754
0,25,6.297786
1,25,6.461700
2,25,5.386850
0,30,6.249930
1,30,6.510280
2,30,5.376279
0,35,7.503717
1,35,6.403671
2,35,5.406904
0,40,9.758163
1,40,6.451148
2,40,5.356188
0,45,10.958364
1,45,6.418124
2,45,5.335464
0,50,11.476219
1,50,6.690054
2,50,5.373754
0,55,11.918174
1,55,7.929974
2,55,5.387108
0,60,12.148418
1,60,8.932206
2,60,5.377567
0,65,12.299451
1,65,9.503985
2,65,5.377430
0,70,12.513975
1,70,9.694885
2,70,5.385470
0,75,12.461378
1,75,9.822771
2,75,5.374431
0,80,12.490683
1,80,9.597113
2,80,5.379337
0,85,12.944368
1,85,9.361494
2,85,5.372523
0,90,13.084331
1,90,9.196190
2,90,5.408501
0,95,13.313014
1,95,9.112380
2,95,5.394056
0,100,12.966312
1,100,9.263928
2,100,5.425060
0,105,12.820762
1,105,9.449749
2,105,5.342098
0,110,12.289261
1,110,9.923774
2,110,5.395606
0,115,12.330487
1,115,9.929106
2,115,5.328529
0,120,12.415970
1,120,9.901654
2,120,5.364495
0,125,12.268734
1,125,9.984075
2,125,5.395220
0,130,12.348024
1,130,9.729893
2,130,5.343396
0,135,12.678428
1,135,9.632921
2,135,5.336018
0,140,12.888808
1,140,9.384032
2,140,5.349705
0,145,12.705556
1,145,9.475049
2,145,5.377400
0,150,12.436695
1,150,9.737179
2,150,5.349545
0,155,12.259403
1,155,9.965550
2,155,5.359944
0,160,12.091986
1,160,10.039191
2,160,5.346609
0,165,12.273552
1,165,9.955538
2,165,5.365426
0,170,12.206792
1,170,9.789762
2,170,5.389894
0,175,12.457220
1,175,9.599144
2,175,5.380118
0,180,12.578959
1,180,9.462132
2,180,5.335845
0,185,12.539047
1,185,9.483981
2,185,5.354252
0,190,12.910631
1,190,9.310720
2,190,5.369248
0,195,12.860109
1,195,9.352672
2,195,5.417289
0,200,12.782720
1,200,9.343530
2,200,5.394974
0,205,12.731283
1,205,9.442056
2,205,5.378025
0,210,12.557290
1,210,9.614110
2,210,5.320897
0,215,12.584974
1,215,9.742997
2,215,5.321293
0,220,12.109972
1,220,10.070398
2,220,5.333075
0,225,11.818026
1,225,10.288543
2,225,5.337808
0,230,11.881723
1,230,10.309577
2,230,5.376085
0,235,11.919364
1,235,10.077989
2,235,5.347729
0,240,12.066767
1,240,9.852146
2,240,5.320808
0,245,12.386049
1,245,9.505228
2,245,5.342100
0,250,12.155309
