Application,Time,Throughput
0,5,38.065024
1,5,34.877107
2,5,23.582707
3,5,0.000000
4,5,0.000000
5,5,0.000000
0,10,42.370797
1,10,32.920570
2,10,21.238106
3,10,0.000000
4,10,0.000000
5,10,0.000000
0,15,45.083190
1,15,32.169347
2,15,14.976954
3,15,0.000000
4,15,0.000000
5,15,4.301139
0,20,46.521634
1,20,32.004565
2,20,12.067632
3,20,0.000000
4,20,0.000000
5,20,5.938538
0,25,47.385655
1,25,31.883946
2,25,10.063890
3,25,0.000000
4,25,0.000000
5,25,7.199746
0,30,47.918447
1,30,32.032149
2,30,9.213769
3,30,0.000000
4,30,0.000000
5,30,7.368148
0,35,46.805188
1,35,31.368350
2,35,12.375115
3,35,0.000000
4,35,0.000000
5,35,5.984656
0,40,45.777090
1,40,30.715573
2,40,14.210636
3,40,0.000000
4,40,0.000000
5,40,5.830408
0,45,44.694267
1,45,30.440155
2,45,15.210643
3,45,0.000000
4,45,0.000000
5,45,6.187684
0,50,44.521226
1,50,30.332564
2,50,15.602915
3,50,0.000000
4,50,0.000000
5,50,6.076722
0,55,32.811320
1,55,31.535632
2,55,17.110360
3,55,7.736954
4,55,0.000000
5,55,7.338342
0,60,27.111593
1,60,30.535099
2,60,16.903769
3,60,14.981008
4,60,0.000000
5,60,7.001888
0,65,24.761000
1,65,30.095070
2,65,16.755296
3,65,18.635470
4,65,0.000000
5,65,6.286896
0,70,23.467546
1,70,29.727938
2,70,16.766781
3,70,20.415207
4,70,0.000000
5,70,6.155288
0,75,23.379168
1,75,21.164507
2,75,16.897630
3,75,22.231796
4,75,5.990086
5,75,6.870246
0,80,23.063914
1,80,17.707572
2,80,16.855324
3,80,22.757818
4,80,10.440080
5,80,5.709062
0,85,22.768437
1,85,16.174874
2,85,16.303624
3,85,23.180688
4,85,12.498267
5,85,5.606889
0,90,22.721479
1,90,15.096915
2,90,16.390353
3,90,22.841883
4,90,13.459015
5,90,6.023797
0,95,22.005277
1,95,14.855645
2,95,16.284283
3,95,22.553166
4,95,14.064496
5,95,6.770906
0,100,22.505551
1,100,14.513755
2,100,16.422385
3,100,23.076045
4,100,14.500453
5,100,5.514592
0,105,22.766113
1,105,14.805012
2,105,16.564415
3,105,23.570323
4,105,14.889875
5,105,3.937706
0,110,23.387556
1,110,15.256458
2,110,16.871743
3,110,23.695831
4,110,15.353334
5,110,1.968853
0,115,23.517567
1,115,15.564427
2,115,17.074061
3,115,23.930027
4,115,15.462273
5,115,0.984426
0,120,23.988012
1,120,15.331507
2,120,17.160160
3,120,23.764476
4,120,15.797076
5,120,0.492213
0,125,23.933635
1,125,15.326252
2,125,17.301674
3,125,23.803332
4,125,15.922775
5,125,0.246107
0,130,23.985217
1,130,15.244854
2,130,17.440776
3,130,23.849404
4,130,15.889477
5,130,0.123053
0,135,24.185927
1,135,15.346638
2,135,17.228836
3,135,23.808728
4,135,15.901788
5,135,0.061527
0,140,24.192452
1,140,15.153108
2,140,17.471544
3,140,23.743212
4,140,15.942696
5,140,0.030763
0,145,24.290703
1,145,15.348260
2,145,17.244220
3,145,23.937500
4,145,15.696717
5,145,0.015382
0,150,24.258740
1,150,15.319570
2,150,17.482712
3,150,24.072872
4,150,15.391860
5,150,0.007691
0,155,24.357440
1,155,15.463926
2,155,17.341317
3,155,23.610010
4,155,15.757235
5,155,0.003845
