Application,Time,TotalPackets
1,5,20623864
1,10,19805744
1,15,19755064
1,20,19938960
1,25,19923032
1,30,19676872
1,35,19731896
1,40,20088104
1,45,20011360
1,50,19488632
1,55,19902760
1,60,19578408
1,65,19730448
1,70,20044664
1,75,16941600
1,80,15023000
1,85,13760344
1,90,13718352
1,95,13576448
1,100,12843760
1,105,12208088
1,110,12447008
1,115,13153632
1,120,13628576
1,125,14222256
1,130,13590928
1,135,13811024
1,140,13828400
1,145,13937000
1,150,13796544
1,155,14209224
1,160,13754552
1,165,13993472
1,170,13627128
1,175,13666224
1,180,13890664
1,185,13407032
1,190,13438888
1,195,13825504
1,200,13625680
1,205,13989128
1,210,13741520
1,215,13880528
1,220,13871840
1,225,13705320
1,230,13847224
1,235,13425856
1,240,13893560
1,245,13643056
1,250,13747312
1,255,19650808
1,260,19801400
1,265,19788368
1,270,19516144
1,275,19715968
1,280,19807192
1,285,19960680
1,290,20001224
1,295,19782576
1,300,19950544
1,305,19993984
1,310,19755064
1,315,20009912
1,320,20141680
1,325,20069280
1,330,20235800
1,335,20254624
1,340,19707280
1,345,20040320
1,350,19915792

2,5,15392240
2,10,11391416
2,15,11049688
2,20,10745608
2,25,11142360
2,30,11054032
2,35,11219104
2,40,10825248
2,45,11245168
2,50,11303088
2,55,11414584
2,60,11336392
2,65,11313224
2,70,11310328
2,75,9181768
2,80,7762728
2,85,6610120
2,90,6132280
2,95,6822976
2,100,6743336
2,105,5954176
2,110,5848472
2,115,6458080
2,120,7287784
2,125,7030040
2,130,7603448
2,135,7407968
2,140,7069136
2,145,7089408
2,150,7234208
2,155,6931576
2,160,6953296
2,165,7005424
2,170,7442720
2,175,7218280
2,180,6898272
2,185,7373216
2,190,7293576
2,195,7240000
2,200,7257376
2,205,7186424
2,210,6953296
2,215,7177736
2,220,7031488
2,225,7077824
2,230,7247240
2,235,7442720
2,240,6973568
2,245,7296472
2,250,7331224
2,255,12736608
2,260,11248064
2,265,11245168
2,270,11151048
2,275,10991768
2,280,11109056
2,285,11058376
2,290,10959912
2,295,10215640
2,300,10725336
2,305,10767328
2,310,10984528
2,315,10985976
2,320,11201728
2,325,11093128
2,330,10945432
2,335,10926608
2,340,11046792
2,345,11064168
2,350,10929504

3,5,0
3,10,0
3,15,0
3,20,0
3,25,0
3,30,0
3,35,0
3,40,0
3,45,0
3,50,0
3,55,0
3,60,0
3,65,0
3,70,0
3,75,8570712
3,80,15657224
3,85,18343264
3,90,19382928
3,95,20021496
3,100,21502800
3,105,22348432
3,110,22354224
3,115,20506576
3,120,18761736
3,125,18757392
3,130,18540192
3,135,18971696
3,140,18753048
3,145,18726984
3,150,18787800
3,155,18486616
3,160,19025272
3,165,18760288
3,170,18585080
3,175,18913776
3,180,18766080
3,185,18757392
3,190,18755944
3,195,18754496
3,200,18758840
3,205,18755944
3,210,18758840
3,215,18757392
3,220,18755944
3,225,18753048
3,230,18755944
3,235,18763184
3,240,18757392
3,245,18750152
3,250,18592320
3,255,282360
3,260,0
3,265,0
3,270,0
3,275,0
3,280,0
3,285,0
3,290,0
3,295,0
3,300,0
3,305,0
3,310,0
3,315,0
3,320,0
3,325,0
3,330,0
3,335,0
3,340,0
3,345,0
3,350,0

